code;name
10100000;Capital
10890000;COMPTE DE L'EXPLOITANT
12000000;COMPTE DE RESULTAT
16412000;EMPRUNTS BNP
20700000;Fonds commercial
27100000;Titres immobilisés (droit de propriété)
40100000;Collectif
41100000;Collectif
44551000;TVA à décaisser
44566000;TVA S/BIENS ET SERVICES
44566310;TVA Déductible Code 31 Assuj TVA 20%
44567000;TVA CREDIT REPORTABLE
44571000;TVA COLLECTEE
44571031;TVA Collectée Code 31 Assuj TVA 20%
44571032;TVA Collectée Code 32 Non Assuj TVA 20%
44580000;TCA à régulariser ou en attente
46700000;LANDES ENCHERES
47031000;Produit de Vente 31- Assuj TVA 20%
47032000;Produit de Vente- 32 Non Assuj TVA 20%
47100000;Compte d'attente
51200000;BNP Clientèle-compte affecté
51211400;BNP cpte Exploitation-fonctionnement Etude
51211500;BANQUE BAMI-fonctionnement Etude
53000000;CAISSE
58000000;VIREMENTS INTERNES
61350000;LOCATION DE MATERIEL
61600000;ASSURANCES
61690000;Primes d'assurances
62260000;HONORAIRES
62281000;PUB/VENTES
62282000;FRAIS SUR VENTES
62510000;FRAIS DE DEPLACEMENT
62511000;IK Mr DAUCHEZ
62560000;RECEPTION
62610000;FRAIS PTT
62700000;FRAIS FINANCIERS
62810000;COTISATIONS
64600000;CHARGES SOCIALES /PERSON.
65800000;Charges diverses de gestion courante
67100000;Charges exc.op.de gestion
67120000;PENALITES AMENDES FISCALE
67122000;AMENDES FISCALES
70203100;Publicité Code 31 Assujetti TVA 20%
70208000;Publicité JOURNAL SUD OUEST
70600310;Hon.5%Vendeurs Ass.20% code31
70600320;Hon.5%Vendeurs N.Ass20% code 32
70613100;Hon.12%Acheteur-ASS.20%-Code 31
70613200;Hon.12%Achet.Non ASS.20% Code 32
70621000;HONORAIRES FRAIS/VENTES
70622000;HONORAIRES DIVERS INVT.
70623000;DEBOURS INVENTAIRES
70632000;FRAIS RECUPERES NON ASS
70636100;Frais/vente Transport-déménagement
70636200;Frais/vente déplac. 0.587 ou 0.75
70636500;Frais/vente divers
70637000;Frais récupérés/acheteurs
70638000;Arrangement Préparation Assistance vente
70670000;CONTROLE + 5 ANS
77100000;PERTES ET PROFITS
77180000;Autres produits except.
;
C1807270;ACHETEURS DU 27/07/2018
C2106242;ACHETEURS DU 24/06/2021
C2207200;ACHETEURS DU 20/07/2022
C2209250;ACHETEURS DU 25/09/2022
C2301132;ACHETEURS DU 13/01/2023
C2305300;ACHETEURS DU 30/05/2023
C2311160;ACHETEURS DU 16/11/2023
C2404250;ACHETEURS DU 25/04/2024
C2411070;ACHETEURS DU 07/11/2024
C2411200;ACHETEURS DU 20/11/2024
C2501150;ACHETEURS DU 15/01/2025
C2502070;ACHETEURS DU 07/02/2025
C2503120;ACHETEURS DU 12/03/2025
C2503130;ACHETEURS DU 13/03/2025
C2503140;ACHETEURS DU 14/03/2025
C2504220;ACHETEURS DU 22/04/2025
C2504240;ACHETEURS DU 24/04/2025
C2506050;ACHETEURS DU 05/06/2025
C2507290;ACHETEURS DU 29/07/2025
C2510290;ACHETEURS DU 29/10/2025
C2510300;ACHETEURS DU 30/10/2025
C2511200;ACHETEURS DU 20/11/2025
F2303150;VENDEURS DU 15/03/2023
F2305300;VENDEURS DU 30/05/2023
F2412170;VENDEURS DU 17/12/2024
F2412180;VENDEURS DU 18/12/2024
F2501150;VENDEURS DU 15/01/2025
F2502070;VENDEURS DU 07/02/2025
F2503120;VENDEURS DU 12/03/2025
F2503130;VENDEURS DU 13/03/2025
F2503140;VENDEURS DU 14/03/2025
F2504220;VENDEURS DU 22/04/2025
F2504240;VENDEURS DU 24/04/2025
F2506050;VENDEURS DU 05/06/2025
F2507290;VENDEURS DU 29/07/2025
F2510290;VENDEURS DU 29/10/2025
F2510300;VENDEURS DU 30/10/2025
;VENDEURS DU 20/11/2025 NON ENCORE TRANSFERE VERS DIVALTO au 02/12
