Compte Enchères;Correspondance
44566300;4456620
44566310;4456640
44571000;4457110
44571030;4457111
44571031;4457113
44571032;4457113
44571040;4457111
44571100;4457110
44571160;4457116
46770000;4670300
46772000;4670300
46820700;4682070
46820800;4682080
46820900;4682090
47031000;4682030
47032000;4682060
51200000;5420000
51211400;5121140
51211500;5121150
53000000;5300000
70203000;7061404
70203100;7061406
70203200;7061406
70204000;7061404
70207000;7068000
70208000;7068000
70600011;7061412
70600300;7061404
70600310;7061406
70600320;7061406
70600400;7061404
70613000;7061401
70613100;7061403
70613200;7061403
70614000;7061401
70614070;7061407
70614080;7061408
70614090;7061409
70614100;7061410
70614110;7061411
70621000;7061400
70622000;7061400
70623000;7068000
70636100;7068000
70636200;7068000
70636500;7068000
70637100;7068000
70638000;7068000
70670000;7068000
